Player in-game name (IGN),CM Group,A or B Finals?,Finals race result,Own Team - Uma 1,Own team - Uma 1 - Running Style,Own team - Uma 1 - Role,Own Team - Uma 2,Own team - Uma 2 - Running Style,Own team - Uma 2 - Role,Own Team - Uma 3,Own team - Uma 3 - Running Style,Own team - Uma 3 - Role,,,,,,,,,,,,,,Uma 1,Uma2,Uma3
Thasdron,Graded (No Limit),A Finals,2nd,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Daiwa Scarlet,Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Daiwa Scarlet - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
B013Y,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
Berutear,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace
Dustbucket ,Graded (No Limit),A Finals,2nd,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Fuji Kiseki,Pace Chaser,Unity Cup Scenario Ace,Smart Falcon,Front Runner,URA Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Fuji Kiseki - Pace Chaser - Unity Cup Scenario Ace,Smart Falcon - Front Runner - URA Scenario Ace
PiggyMcbacon,Graded (No Limit),A Finals,3rd,Narita Taishin,End Closer,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Taishin - End Closer - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
PenguinNinja,Graded (No Limit),B Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Battery for Seiun Sky to push ,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Battery for Seiun Sky to push 
Gears,Graded (No Limit),A Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace
Kuroneko,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Front Blocker,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Front Blocker,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Rice Shower - Pace Chaser - Unity Cup Scenario Ace
Alexa,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Fallensyndicate,Graded (No Limit),A Finals,1st,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
4get,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
McKing,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace
Xearomis,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,URA Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - URA Scenario Ace
Linh124,Graded (No Limit),A Finals,2nd,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Akka,Graded (No Limit),A Finals,1st,Air Groove,Late Surger,Unity Cup Scenario Ace,Narita Brian,Late Surger,Unity Cup Scenario Ace,Symboli Rudolf,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Air Groove - Late Surger - Unity Cup Scenario Ace,Narita Brian - Late Surger - Unity Cup Scenario Ace,Symboli Rudolf - Late Surger - Unity Cup Scenario Ace
Jossuno,Graded (No Limit),A Finals,2nd,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
13deltas,Graded (No Limit),A Finals,2nd,Vodka,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
The F Master,Open (B And Below),A Finals,2nd,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,URA Scenario Ace,Sakura Bakushin O,Pace Chaser,Debuffer,,,,,,,,,,,,,,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - URA Scenario Ace,Sakura Bakushin O - Pace Chaser - Debuffer
Windia,Graded (No Limit),A Finals,3rd,Gold City,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Gold City - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Tim,Graded (No Limit),A Finals,2nd,Oguri Cap,Pace Chaser,Unity cup team trials dirt horse XD,Sakura Bakushin O,Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Pace Chaser - Unity cup team trials dirt horse XD,Sakura Bakushin O - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Gets_Caught,Graded (No Limit),A Finals,1st,Narita Taishin,End Closer,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,El Condor Pasa (Fantasy),Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Taishin - End Closer - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,El Condor Pasa (Fantasy) - Late Surger - Unity Cup Scenario Ace
Mattlul,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Hol,Graded (No Limit),A Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,TM Opera O,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Gold Ship - End Closer - Unity Cup Scenario Ace,TM Opera O - Pace Chaser - Unity Cup Scenario Ace
Thelvis,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Meisho Doto,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Meisho Doto - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Angy,Graded (No Limit),A Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace
Ghostz,Graded (No Limit),B Finals,1st,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Nata,Graded (No Limit),A Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Wraith,Graded (No Limit),A Finals,2nd,Narita Taishin,End Closer,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Taishin - End Closer - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace
Nehireta,Graded (No Limit),A Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Daiwa Scarlet,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Daiwa Scarlet - Pace Chaser - Unity Cup Scenario Ace
Zee,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Gold City,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Gold City - Late Surger - Unity Cup Scenario Ace
Highmon,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Air Groove (Wedding),Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Air Groove (Wedding) - Late Surger - Unity Cup Scenario Ace
syaameiin,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Gold Ship - End Closer - Unity Cup Scenario Ace
Monterra,Graded (No Limit),A Finals,2nd,Vodka,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace
Zuse,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
vflower,Graded (No Limit),A Finals,1st,Narita Taishin,End Closer,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Taishin - End Closer - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
King,Graded (No Limit),A Finals,2nd,Vodka,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
kaeiris,Graded (No Limit),B Finals,1st,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
carkyfisher,Graded (No Limit),A Finals,1st,Symboli Rudolf,End Closer,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Symboli Rudolf - End Closer - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
ZZZ,Graded (No Limit),B Finals,1st,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Daiwa Scarlet,Front Runner,Unity Cup Scenario Ace,Silence Suzuka,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Daiwa Scarlet - Front Runner - Unity Cup Scenario Ace,Silence Suzuka - Front Runner - Unity Cup Scenario Ace
BottlesMan,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace
Anaxagoras,Graded (No Limit),A Finals,3rd,Gold City,Late Surger,Unity Cup Scenario Ace,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Gold City - Late Surger - Unity Cup Scenario Ace,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
Kaedenoki,Graded (No Limit),A Finals,1st,Mayano Top Gun (Wedding),Pace Chaser,Unity Cup Scenario Ace,Nice Nature,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mayano Top Gun (Wedding) - Pace Chaser - Unity Cup Scenario Ace,Nice Nature - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Onenn,Graded (No Limit),A Finals,1st,Silence Suzuka,Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Rice Shower - Pace Chaser - Unity Cup Scenario Ace
PhireFlai,Graded (No Limit),A Finals,1st,Narita Taishin,End Closer,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Taishin - End Closer - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
ReddyB,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace
Velina,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
BufonRi,Graded (No Limit),A Finals,2nd,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Special Week,Late Surger,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Special Week - Late Surger - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace
jerellybean,Graded (No Limit),B Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Hishi Amazon,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Hishi Amazon - End Closer - Unity Cup Scenario Ace
Shimmering,Graded (No Limit),A Finals,2nd,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
✰caac✰,Graded (No Limit),A Finals,1st,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
wren,Graded (No Limit),A Finals,3rd,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Special Week,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Special Week - Late Surger - Unity Cup Scenario Ace
Yukice,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace
HFS,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,URA Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - URA Scenario Ace
XYZ,Graded (No Limit),B Finals,2nd,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Death Jazz,Graded (No Limit),A Finals,1st,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
DR2D0,Graded (No Limit),A Finals,1st,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Thorwyb,Graded (No Limit),A Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Symboli Rudolf,Late Surger,Unity Cup Scenario Ace,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Symboli Rudolf - Late Surger - Unity Cup Scenario Ace,Rice Shower - Pace Chaser - Unity Cup Scenario Ace
b3c4k,Graded (No Limit),A Finals,2nd,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
QuackDraw,Graded (No Limit),A Finals,2nd,King Halo,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,King Halo - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Jack,Graded (No Limit),A Finals,3rd,Vodka,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Dusty White,Graded (No Limit),A Finals,3rd,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Enji,Graded (No Limit),A Finals,1st,Hishi Amazon,End Closer,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Hishi Amazon - End Closer - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Refresh683,Graded (No Limit),A Finals,3rd,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Mayano Top Gun (Wedding),Pace Chaser,Unity Cup Scenario Ace,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Mayano Top Gun (Wedding) - Pace Chaser - Unity Cup Scenario Ace,Rice Shower - Pace Chaser - Unity Cup Scenario Ace
HyperRes ,Graded (No Limit),A Finals,2nd,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Dakota,Graded (No Limit),A Finals,1st,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Tae,Graded (No Limit),A Finals,3rd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace
